,_latitude,_longitude,number_of_operators,number_of_available_trolleys,_title,_server_updated_at,_created_by,_updated_by,arrival_of_the_freight_vehicle,plates,company_if_visible,visit_purpose,type_of_vehicle,refrigerated_truck,type_of_cargo,departure_of_the_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,garage_blocking,accident,noise,traffic_congestion
364,19.0744410853,-98.1735500735,2,0,"47 Avenida Citlaltépetl
Puebla de Zaragoza PUE 72210
MX",2022-11-09 20:37:51 UTC,Pedro Contreras,Pedro Contreras,14:35,239-DV-3,Pitic,Sales & delivery,Heavy duty truck,no,"Paper Goods (paper towels, toilet paper, etc.)",14:45,Street - next to the curbside,no,no,Rear,yes,no,no,no
365,19.0744117775,-98.172453718,5,0,"65 Calle General Lázaro Cárdenas
Puebla de Zaragoza PUE 72210
MX",2022-11-09 20:35:07 UTC,Pedro Contreras,Pedro Contreras,14:18,758-DE-7,Grumavy,Delivery,Heavy duty truck,no,Metal,14:50,Street - next to the curbside,no,no,Rear,yes,no,no,no
366,19.0761653055,-98.1708208659,1,0,"1–27 Avenida Malintzi
Puebla de Zaragoza PUE 72210
MX",2022-11-09 20:27:08 UTC,Pedro Contreras,Pedro Contreras,14:24,XE-6383-A,Fastenal,Sales (usually small car or motorcycle),Pick-up,no,Tools ,14:26,Street - next to the curbside,no,no,Rear,no,no,no,no
367,19.0721686464,-98.1672783383,1,0,"2213 Calle Cordillera Central
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:58:55 UTC,Pedro Contreras,Pedro Contreras,12:51,TNH-542-B,Sin registro,Sales & delivery,Automobile,no,"Non-alcoholic beverages (water, soda, etc.)",12:52,Street - next to the curbside,no,no,Rear,yes,no,no,no
368,19.0719752759,-98.1669909229,1,0,"2218–2234 Calle Cordillera Central
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:48:24 UTC,Pedro Contreras,Pedro Contreras,12:40,XWA-636-A,Coca-Cola,Sales (usually small car or motorcycle),Automobile,no,"Non-alcoholic beverages (water, soda, etc.)",12:41,Street - next to the curbside,no,no,Side,no,no,no,no
369,19.0720751882,-98.1665766892,1,0,"9006 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:39:13 UTC,Pedro Contreras,Pedro Contreras,12:32,SN-29-824,Sin registro,Sales & delivery,Light truck or Van,no,Produce (fruits & vegetables),12:34,Street - next to the curbside,no,no,Rear,no,no,no,no
370,19.071961034,-98.166975953,2,1,"2218–2234 Calle Cordillera Central
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:34:06 UTC,Eduardo Zárate,Eduardo Zárate,12:24,WZ-5819-A,Sin registro,Delivery,Light truck or Van,yes,Hielo ,12:25,Street - next to the curbside,no,no,Side,no,no,no,no
371,19.071999466,-98.1667017056,1,0,"9002–9026 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:13:31 UTC,Pedro Contreras,Pedro Contreras,12:04,9607E2,JUMEX,Sales & delivery,Motorcycle,no,"Non-alcoholic beverages (water, soda, etc.)",12:05,Street - next to the curbside,no,no,Side,no,no,no,no
372,19.0706946049,-98.1677300391,1,0,"8811A Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 18:08:28 UTC,Pedro Contreras,Diego Galicia Lugo,11:47,SN-29-117,Pringles,Sales & delivery,SUV,no,"Chips,Nonfood",11:50,Street - next to the curbside,no,no,Rear,yes,no,no,no
373,19.0754693,-98.1676052,2,0,"2034B Calle Cordillera de los Alpes
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 17:39:27 UTC,Alejandro Matias,Alejandro Matias,10:45,XY-38-302,Pepsi,Sales & delivery,Heavy duty truck,no,"Non-alcoholic beverages (water, soda, etc.)",11:10,Street - next to the curbside,no,no,Side,yes,no,no,no
374,19.0724087,-98.1656903,1,0,"9022 Sierra Morena
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 17:39:26 UTC,Alejandro Matias,Alejandro Matias,10:44,SN-17-510,Danone,Sales & delivery,Light truck or Van,yes,"Dairy (milk, cheese, etc.)",10:47,Street - next to the curbside,no,no,Rear,no,no,no,no
375,19.0701709,-98.1667233,2,1,"2421 Cord. del Pindo
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 17:39:26 UTC,Alejandro Matias,Alejandro Matias,10:23,No,Coca Cola,Delivery,Heavy duty truck,no,"Dairy (milk, cheese, etc.)",10:30,Street - next to the curbside,no,no,Side,yes,no,no,no
376,19.0718907,-98.166637,1,0,"9002 Avenida Montes Urales
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 17:39:25 UTC,Alejandro Matias,Alejandro Matias,09:37,23J 237,Lala,Delivery,Light truck or Van,yes,"Dairy (milk, cheese, etc.)",09:49,Street - next to the curbside,no,no,Rear,no,no,no,no
377,19.0733588603,-98.1643093243,1,0,"Avenida Unidad Deportiva
Puebla de Zaragoza PUE 72220
MX",2022-11-09 17:27:16 UTC,Pedro Contreras,Pedro Contreras,11:24,TZW-91-27,NONE,Sales & delivery,Automobile,no,"Non-alcoholic beverages (water, soda, etc.)",11:25,Street - next to the curbside,no,no,Rear,no,no,no,no
